Index,Order ID,Cust ID,Gender,Age,Age Group,Date,Month,Status,Channel ,SKU,Category,Size,Qty,Currency,Amount,Ship-City,Ship-State,Ship-Postal-Code,Ship-Country
1,171-1029312-3038738,1029312,Women,34,Senior,2022-12-04,December,Delivered,Flipkart,VOLS299-KR-M,T-Shirt,XXL,1,INR,376.00,MOHALI,PUNJAB,140301,IN
2,405-2183842-2225946,2183842,Women,29,Senior,2022-12-04,December,Delivered,Amazon,VOLS30-KR-PP-XS,Sweatshirt,L,1,INR,699.00,GURUGRAM,HARYANA,122002,IN
3,171-1641533-8921966,1641533,Women,27,Senior,2022-12-04,December,Delivered,Flipkart,VOLS86-KR-NP-XL,Sweatshirt,S,1,INR,453.00,KOLKATA,WEST BENGAL,700029,IN
4,404-7490807-6300351,7490807,Women,20,Junior,2022-12-04,December,Delivered,Amazon,VOLS65-KR-NP-L,Sweatshirt,M,1,INR,729.00,THANJAVUR,TAMIL NADU,613007,IN
5,403-9293516-4577154,9293516,Women,22,Senior,2022-12-04,December,Delivered,Flipkart,VOLS27-KR-DPT-XXL,T-Shirt,XXL,1,INR,544.00,GURUGRAM,HARYANA,122001,IN
6,407-1298130-0368305,1298130,Men,24,Senior,2022-12-04,December,Delivered,Flipkart,VOLS797-KR-XS,Activwear,XXL,1,INR,735.00,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN
7,407-1298130-0368305,1298130,Women,23,Senior,2022-12-04,December,Delivered,VS Website,VOLS10,T-Shirt,XXL,1,INR,735.00,BENGALURU,KARNATAKA,560029,IN
8,171-5561216-3398711,5561216,Women,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS461-KR-XXXL,T-Shirt,M,1,INR,435.00,GURUGRAM,HARYANA,122001,IN
9,408-2935263-2935550,2935263,Women,35,Senior,2022-12-04,December,Refunded,Amazon,VOLS3-SET-XS,T-Shirt,XL,1,INR,385.00,BENGALURU,KARNATAKA,562149,IN
10,404-2648970-9042715,2648970,Women,33,Senior,2022-12-04,December,Refunded,Flipkart,VOLS1-DR-XS,T-Shirt,L,1,INR,771.00,VIJAYAWADA,ANDHRA PRADESH,520002,IN
11,404-2648970-9042715,2648970,Women,36,Senior,2022-12-04,December,Refunded,Amazon,VOLS68-KR-NP-S,T-Shirt,S,1,INR,517.00,THIRUVANANTHAPURAM,KERALA,695018,IN
12,404-2648970-9042715,2648970,Women,20,Junior,2022-12-04,December,Refunded,Flipkart,VOLS01-KR-NP-S,Topwear,M,1,INR,299.00,ARAKONAM,TAMIL NADU,631003,IN
13,408-0265357-4939534,265357,Women,18,Junior,2022-12-04,December,Refunded,Amazon,VOLS233-BLUE-031-XXL,Sweatshirt,XL,1,INR,786.00,GUWAHATI,ASSAM,781017,IN
14,403-9268874-7296313,9268874,Men,34,Senior,2022-12-04,December,Refunded,Flipkart,VOLS87-KR-DH-M,Sweatshirt,M,1,INR,699.00,BENGALURU,KARNATAKA,562125,IN
15,407-0442660-2736366,442660,Women,27,Senior,2022-12-04,December,Refunded,Amazon,VOLS84-KR-PP-M,Sweatshirt,M,1,INR,699.00,HYDERABAD,TELANGANA,500098,IN
16,406-7482261-1657136,7482261,Women,18,Junior,2022-12-04,December,Refunded,VS Website,VOLS14-KR-NP-L,Topwear,L,1,INR,523.00,NEW DELHI,DELHI,110062,IN
17,407-7029962-7080347,7029962,Men,30,Senior,2022-12-04,December,Refunded,VS Website,VOLS2-TP-PJ-M,Sweatshirt,XL,1,INR,699.00,Bhubaneswar,ODISHA,751022,IN
